person_id,arrest_id,filing_date,charge_degree,offense_category,arrest_date_event
78786,3835604,2018-05-01,felony,property,2018-05-01
78786,11999735,2018-05-01,felony,property,2018-05-01
1064849,3442497,2018-07-12,misdemeanor,other,2018-07-12
78786,4205882,2018-03-09,felony,property,2018-03-09
78786,12006352,2018-03-09,felony,property,2018-03-09
1064849,12005527,2018-07-12,misdemeanor,other,2018-07-12
65387,3874241,2018-04-24,misdemeanor,other,2018-04-24
411055,2002693,2019-03-25,felony,violent,2019-03-25
66936,2078501,2019-03-12,misdemeanor,other,2019-03-12
65387,3514373,2018-06-29,misdemeanor,other,2018-06-29
2108170,8504503,2015-03-25,felony,violent,2015-03-25
1026471,4327311,2018-02-15,misdemeanor,other,2018-02-15
57529,11571593,2012-05-13,felony,violent,2012-05-13
81823,8198707,2015-07-03,felony,other,2015-07-03
82486,6892766,2016-07-02,felony,violent,2016-07-02
85246,2532457,2018-12-15,felony,violent,2018-12-15
8819,5053407,2017-10-06,felony,other,2017-10-06
9102,4983747,2017-10-19,felony,property,2017-10-19
11885,5223686,2017-09-09,felony,other,2017-09-09
66936,4531245,2018-01-10,felony,violent,2018-01-10
81823,8365390,2020-11-06,felony,violent,2020-11-06
47273,9853259,2020-07-17,felony,violent,2020-07-17
67140,5145527,2017-09-20,felony,other,2017-09-20
50867,5473408,2017-07-21,felony,violent,2017-07-21
11936,4677730,2017-12-07,felony,other,2017-12-07
247459,4852731,2017-11-08,felony,violent,2017-11-08
45181,3488332,2018-07-05,misdemeanor,other,2018-07-05
50827,3109728,2018-08-29,felony,other,2018-08-29
45181,3488308,2018-07-05,misdemeanor,other,2018-07-05
47154,3578573,2018-06-19,misdemeanor,drug,2018-06-19
1017719,2404813,2019-01-11,misdemeanor,other,2019-01-11
10071,1693237,2020-05-14,felony,other,2020-05-14
1251769,10109238,2013-10-08,misdemeanor,other,2013-10-08
73796,9304106,2014-06-27,misdemeanor,other,2014-06-27
73796,5195856,2017-09-12,misdemeanor,other,2017-09-12
1130673,7005244,2016-05-28,misdemeanor,other,2016-05-28
83127,5610051,2017-06-20,misdemeanor,drug,2017-06-20
25523,516515,2019-12-16,misdemeanor,other,2019-12-16
32790,8662202,2015-02-01,misdemeanor,other,2015-02-01
28865,5913706,2017-04-09,misdemeanor,other,2017-04-09
1113786,6475895,2016-11-02,felony,drug,2016-11-02
2497431,7792027,2015-11-04,misdemeanor,drug,2015-11-04
2452788,2330697,2019-01-28,felony,violent,2019-01-28
2497431,7911304,2015-09-29,misdemeanor,other,2015-09-29
2452788,2483707,2018-12-27,felony,violent,2018-12-27
698945,6614488,2016-09-21,misdemeanor,other,2016-09-21
106675,3225500,2018-08-05,misdemeanor,other,2018-08-05
311707,8988967,2014-10-09,misdemeanor,drug,2014-10-09
32790,9169477,2014-08-11,misdemeanor,other,2014-08-11
184900,6820431,2016-07-22,felony,violent,2016-07-22
184900,7157228,2016-05-06,misdemeanor,other,2016-05-06
704623,7556077,2016-01-15,misdemeanor,other,2016-01-15
66046,5057571,2017-10-06,misdemeanor,other,2017-10-06
309222,5768641,2017-05-16,misdemeanor,other,2017-05-16
25110,5491065,2017-07-18,misdemeanor,other,2017-07-18
301613,5513065,2017-07-13,misdemeanor,other,2017-07-13
597360,5885165,2017-04-16,felony,drug,2017-04-16
637495,4521188,2018-01-12,felony,violent,2018-01-12
754401,2698916,2018-11-14,misdemeanor,other,2018-11-14
637495,4484900,2018-01-19,felony,violent,2018-01-19
32790,6060013,2017-03-01,misdemeanor,other,2017-03-01
27586,1539637,2019-05-29,misdemeanor,other,2019-05-29
32790,6744042,2016-08-15,misdemeanor,other,2016-08-15
101770,5351996,2017-08-15,misdemeanor,other,2017-08-15
3007259,2989464,2018-09-20,misdemeanor,other,2018-09-20
14780,6487251,2016-10-28,misdemeanor,drug,2016-10-28
1064456,778313,2019-10-23,misdemeanor,other,2019-10-23
21493,2388065,2019-01-15,misdemeanor,violent,2019-01-15
21406,4156142,2020-08-13,misdemeanor,violent,2020-08-13
1064456,418118,2020-01-08,misdemeanor,other,2020-01-08
79024,8068613,2015-08-11,misdemeanor,violent,2015-08-11
1063563,7718470,2015-11-25,felony,property,2015-11-25
79024,8117661,2015-07-27,misdemeanor,other,2015-07-27
78786,8131897,2015-07-22,misdemeanor,violent,2015-07-22
19918,8158294,2015-07-14,misdemeanor,violent,2015-07-14
79024,8706234,2015-01-20,misdemeanor,violent,2015-01-20
1439871,7773343,2015-11-09,misdemeanor,property,2015-11-09
14780,8745103,2015-01-08,felony,property,2015-01-08
20010,7784492,2015-11-05,misdemeanor,violent,2015-11-05
78786,6465058,2016-11-04,misdemeanor,property,2016-11-04
20010,6528308,2016-10-17,misdemeanor,drug,2016-10-17
1465404,6585774,2016-09-28,misdemeanor,violent,2016-09-28
1439871,6673982,2016-09-02,felony,property,2016-09-02
79024,6702548,2016-08-26,misdemeanor,violent,2016-08-26
9044,4738877,2017-11-28,felony,drug,2017-11-28
1063563,6123275,2017-02-13,misdemeanor,property,2017-02-13
14836,5293070,2017-08-25,misdemeanor,violent,2017-08-25
9044,5001766,2017-10-16,felony,drug,2017-10-16
14780,5686387,2017-06-02,misdemeanor,drug,2017-06-02
79024,4486337,2018-01-18,misdemeanor,property,2018-01-18
78820,3678851,2018-05-30,misdemeanor,violent,2018-05-30
20799,2953461,2018-09-26,misdemeanor,other,2018-09-26
79024,2540764,2018-12-13,misdemeanor,other,2018-12-13
14836,563869,2019-12-05,misdemeanor,other,2019-12-05
14260,1957954,2019-04-02,misdemeanor,violent,2019-04-02
14413,1255062,2019-07-22,misdemeanor,other,2019-07-22
14773,858015,2019-10-07,misdemeanor,violent,2019-10-07
14413,1249218,2019-07-23,misdemeanor,other,2019-07-23
14773,789341,2019-10-21,felony,violent,2019-10-21
14780,370660,2020-01-17,misdemeanor,drug,2020-01-17
14780,11956868,2016-10-28,misdemeanor,drug,2016-10-28
1063563,11922242,2014-04-23,misdemeanor,property,2014-04-23
1063563,11937033,2015-11-25,felony,property,2015-11-25
1439871,11937077,2015-11-09,misdemeanor,property,2015-11-09
20010,11937093,2015-11-05,misdemeanor,violent,2015-11-05
79024,11937267,2015-08-11,misdemeanor,violent,2015-08-11
79024,11937320,2015-07-27,misdemeanor,other,2015-07-27
19918,11937347,2015-07-14,misdemeanor,violent,2015-07-14
78786,11937335,2015-07-22,misdemeanor,violent,2015-07-22
79024,11935772,2015-01-20,misdemeanor,violent,2015-01-20
14780,11935799,2015-01-08,felony,property,2015-01-08
78786,11956759,2016-12-05,felony,violent,2016-12-05
78786,11956844,2016-11-04,misdemeanor,property,2016-11-04
14780,11956862,2016-10-31,misdemeanor,drug,2016-10-31
1465404,11956956,2016-09-28,misdemeanor,violent,2016-09-28
20010,11956901,2016-10-17,misdemeanor,drug,2016-10-17
1439871,11957003,2016-09-02,felony,property,2016-09-02
79024,11957032,2016-08-26,misdemeanor,violent,2016-08-26
1063563,11974722,2017-02-13,misdemeanor,property,2017-02-13
14836,11976068,2017-08-25,misdemeanor,violent,2017-08-25
14780,11976338,2017-06-02,misdemeanor,drug,2017-06-02
9044,11977323,2017-11-28,felony,drug,2017-11-28
9044,11977411,2017-10-16,felony,drug,2017-10-16
79024,11998282,2018-01-18,misdemeanor,property,2018-01-18
79024,11999149,2018-12-13,misdemeanor,other,2018-12-13
20799,11999318,2018-09-26,misdemeanor,other,2018-09-26
78820,11999660,2018-05-30,misdemeanor,violent,2018-05-30
79024,10195593,2013-09-06,misdemeanor,other,2013-09-06
14780,10789458,2013-02-13,misdemeanor,property,2013-02-13
1455195,10500239,2013-05-26,misdemeanor,other,2013-05-26
1440050,8857116,2014-11-24,misdemeanor,property,2014-11-24
78786,9645811,2014-03-11,misdemeanor,property,2014-03-11
78786,9645810,2014-03-11,misdemeanor,drug,2014-03-11
78786,9833720,2014-01-03,misdemeanor,property,2014-01-03
78786,8451267,2015-04-11,misdemeanor,drug,2015-04-11
14773,8559566,2015-03-09,misdemeanor,violent,2015-03-09
79024,8320335,2015-05-23,misdemeanor,other,2015-05-23
79024,8335717,2015-05-18,misdemeanor,other,2015-05-18
1063563,8008709,2015-08-30,misdemeanor,property,2015-08-30
1439871,6603878,2016-09-22,misdemeanor,drug,2016-09-22
20010,7603720,2016-01-02,misdemeanor,violent,2016-01-02
14773,6741334,2016-08-15,misdemeanor,property,2016-08-15
78786,6927286,2016-06-21,misdemeanor,property,2016-06-21
14780,6948168,2016-06-14,misdemeanor,drug,2016-06-14
78786,7400798,2016-02-29,misdemeanor,property,2016-02-29
1063563,6551557,2016-10-10,misdemeanor,property,2016-10-10
1439871,6304487,2016-12-24,misdemeanor,property,2016-12-24
1065214,6992261,2016-06-01,misdemeanor,violent,2016-06-01
1065548,6659898,2016-09-07,misdemeanor,property,2016-09-07
